weather,visibility,equipment_readiness,communication,resource_availability,terrain,readiness_score,scenario_risk,outcome
Fog,95,71,41,86,Forest,63.55,Medium,At Risk
Snow,87,50,46,62,Mountain,52.60000000000001,High,High Risk
Heavy Rain,24,49,55,60,Mountain,39.95,High,High Risk
Snow,56,48,42,60,Forest,44.4,High,High Risk
Snow,91,53,84,82,Forest,67.05,Medium,At Risk
Rain,50,52,42,52,Mountain,49.6,High,High Risk
Heavy Rain,28,100,66,76,Forest,64.80000000000001,Medium,At Risk
Heavy Rain,70,96,89,72,Desert,75.39999999999999,Low,Favourable
Heavy Rain,48,64,82,63,Plain,56.150000000000006,Medium,At Risk
Snow,97,41,79,83,Desert,63.3,Medium,At Risk
Fog,59,74,77,50,Forest,55.599999999999994,Medium,At Risk
Heavy Rain,60,46,72,56,Mountain,48.5,High,High Risk
Snow,30,60,67,43,Mountain,44.15,High,High Risk
Rain,42,57,40,86,Desert,57.85,Medium,At Risk
Fog,20,42,94,64,Mountain,43.5,High,High Risk
Rain,65,81,47,69,Forest,68.0,Medium,At Risk
Fog,40,93,76,48,Desert,57.75,Medium,At Risk
Snow,55,100,71,60,Mountain,68.2,Medium,At Risk
Clear,73,78,99,59,Plain,81.45,Low,Favourable
Fog,76,80,87,58,Plain,65.10000000000001,Medium,At Risk
Rain,20,88,82,58,Forest,65.7,Medium,At Risk
Snow,82,50,76,51,Mountain,54.85000000000001,High,High Risk
Fog,73,78,43,76,Forest,59.5,Medium,At Risk
Clear,74,63,69,81,Desert,75.89999999999999,Low,Favourable
Clear,59,99,45,56,Plain,74.45,Medium,At Risk
Heavy Rain,34,85,85,76,Desert,64.55,Medium,At Risk
Heavy Rain,40,58,93,93,Mountain,62.150000000000006,Medium,At Risk
Rain,66,43,58,87,Forest,61.6,Medium,At Risk
Fog,92,65,71,78,Forest,64.85000000000001,Medium,At Risk
Fog,72,77,48,67,Forest,57.7,Medium,At Risk
Heavy Rain,28,81,51,80,Desert,56.150000000000006,Medium,At Risk
Fog,93,71,50,74,Plain,61.95,Medium,At Risk
Fog,71,78,85,86,Desert,70.0,Medium,At Risk
Clear,76,84,94,87,Desert,90.15,Low,Favourable
